application	biotools_ID
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/gwama	https://bio.tools/GWAMA
https://biocontainers.pro/tools/gwama	https://bio.tools/GWAMA
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/dicey	https://bio.tools/Gear-Genomics
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/tracy	https://bio.tools/Gear-Genomics
https://biocontainers.pro/tools/genesplicer	https://bio.tools/GeneSplicer
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/gmove	https://bio.tools/Gmove
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/guidemaker	https://bio.tools/GuideMaker
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/hisat2	https://bio.tools/HISAT2
https://biocontainers.pro/tools/hisat2	https://bio.tools/HISAT2
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/htslib	https://bio.tools/HTSlib
https://biocontainers.pro/tools/htslib	https://bio.tools/HTSlib
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/bioconductor-hiccompare	https://bio.tools/HiCcompare
https://biocontainers.pro/tools/bioconductor-hiccompare	https://bio.tools/HiCcompare
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/hyphy	https://bio.tools/HyPhy
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/python-hyphy-python	https://bio.tools/HyPhy
https://github.com/galaxyproject/tools-iuc/tree/master/tools/hyphy	https://bio.tools/HyPhy
https://github.com/galaxyproject/tools-iuc/tree/master/tools/hypo	https://bio.tools/HyPo
https://github.com/galaxyproject/tools-iuc/tree/master/tools/hybpiper	https://bio.tools/HybPiper
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/ibdseq	https://bio.tools/IBDseq
https://biocontainers.pro/tools/ibdseq	https://bio.tools/IBDseq
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/igvtools	https://bio.tools/IGVtools
https://biocontainers.pro/tools/igvtools	https://bio.tools/IGVtools
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/bioconductor-ihw	https://bio.tools/IHW
https://biocontainers.pro/tools/bioconductor-ihw	https://bio.tools/IHW
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/impute2	https://bio.tools/IMPUTE2
https://github.com/galaxyproject/tools-iuc/tree/master/tools/ISEScan	https://bio.tools/ISEScan
https://github.com/galaxyproject/tools-iuc/tree/master/tools/itsx	https://bio.tools/ITSx
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/itsxpress	https://bio.tools/ITSxpress
https://biocontainers.pro/tools/itsxpress	https://bio.tools/ITSxpress
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/intervene	https://bio.tools/Intervene
https://biocontainers.pro/tools/intervene	https://bio.tools/Intervene
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/bioconductor-isoformswitchanalyzer	https://bio.tools/IsoformSwitchAnalyzeR
https://biocontainers.pro/tools/bioconductor-isoformswitchanalyzer	https://bio.tools/IsoformSwitchAnalyzeR
https://github.com/galaxyproject/tools-iuc/tree/master/tools/isoformswitchanalyzer	https://bio.tools/IsoformSwitchAnalyzeR
https://github.com/galaxyproject/tools-iuc/tree/master/tools/jellyfish	https://bio.tools/Jellyfish
https://biocontainers.pro/tools/kat	https://bio.tools/KAT
https://biocontainers.pro/tools/kmc	https://bio.tools/KMC
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/ldhelmet	https://bio.tools/LDhelmet
https://biocontainers.pro/tools/ldhelmet	https://bio.tools/LDhelmet
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/lightassembler	https://bio.tools/LightAssembler
